Agent,Topic,Knowledge,Participant_Opinion,Fav,Cont,NotInf,w_fav,w_cont
robots,socio-economic,low,disagree,1,4,9,0.1,0.3076923076923077
robots,socio-economic,low,agree,3,5,13,0.1875,0.2777777777777778
robots,socio-economic,high,disagree,1,2,5,0.16666666666666666,0.2857142857142857
robots,socio-economic,high,agree,0,2,0,0,1.0
virtuals,socio-economic,low,disagree,4,2,7,0.36363636363636365,0.2222222222222222
virtuals,socio-economic,low,agree,1,10,8,0.1111111111111111,0.5555555555555556
virtuals,socio-economic,high,disagree,1,1,2,0.3333333333333333,0.3333333333333333
virtuals,socio-economic,high,agree,1,4,4,0.2,0.5
articles,socio-economic,low,disagree,1,4,7,0.125,0.36363636363636365
articles,socio-economic,low,agree,2,5,9,0.18181818181818182,0.35714285714285715
articles,socio-economic,high,disagree,2,0,2,0.5,0.0
articles,socio-economic,high,agree,0,2,11,0.0,0.15384615384615385
robots,robot_related,low,disagree,0,1,1,0.0,0.5
robots,robot_related,low,agree,6,9,9,0.4,0.5
robots,robot_related,high,disagree,0,1,1,0.0,0.5
robots,robot_related,high,agree,2,7,7,0.2222222222222222,0.5
virtuals,robot_related,low,disagree,1,1,4,0.2,0.2
virtuals,robot_related,low,agree,5,7,8,0.38461538461538464,0.4666666666666667
virtuals,robot_related,high,disagree,0,0,0,0,0
virtuals,robot_related,high,agree,1,13,4,0.2,0.7647058823529411
articles,robot_related,low,disagree,0,2,0,0,1.0
articles,robot_related,low,agree,6,11,9,0.4,0.55
articles,robot_related,high,disagree,0,1,0,0,1.0
articles,robot_related,high,agree,0,4,11,0.0,0.26666666666666666
